Year,Industry,Construction,Manufacting,IT,industrychange,constchange,manuchange,itchange,ItCount,constrution,manu,ind,itwater,conswater,manuwater,indwater,totalwater,,,,,,,,,,,,
1950,16.69,2.02,9.05,29.63,0.47,0.01,-0.06,-0.08,"8,940.21","2,729.00",7369.296189,16364.94222,2.67355E+11,2.51E+11,4.49187E+11,9.97507E+11,1.96512E+12,,,,,,,,,,,,
1951,16.22,2.01,9.1,29.71,0.08,0.09,-0.14,0.9,"8,947.26","2,728.71",7373.451898,16377.85401,2.67566E+11,2.51E+11,4.4944E+11,9.98294E+11,1.96635E+12,,,,,,,,,,,,
1952,16.15,1.92,9.25,28.81,-0.62,0,-0.24,-0.13,"8,867.17","2,726.35",7383.936569,16231.24051,2.65171E+11,2.51E+11,4.50079E+11,9.89357E+11,1.95544E+12,,,,,,,,,,,,
1953,16.77,1.92,9.49,28.94,-1.3,0.02,-0.49,-0.68,"8,878.47","2,726.37",7402.06339,16251.92097,2.65508E+11,2.51E+11,4.51184E+11,9.90618E+11,1.95814E+12,,,,,,,,,,,,
1954,18.07,1.9,9.98,29.62,-0.49,0.01,-0.17,0.31,"8,939.02","2,725.86",7438.33262,16362.75913,2.67319E+11,2.51E+11,4.53395E+11,9.97374E+11,1.96887E+12,,,,,,,,,,,,
1955,18.56,1.89,10.15,29.31,-0.04,-0.15,-0.52,-1.47,"8,911.72","2,725.57",7451.112793,16312.79331,2.66503E+11,2.51E+11,4.54174E+11,9.94328E+11,1.96576E+12,,,,,,,,,,,,
1956,18.61,2.04,10.67,30.78,0.11,0.08,0.26,0.99,"9,044.96","2,729.60",7490.05711,16556.6906,2.70487E+11,2.51E+11,4.56548E+11,1.00919E+12,1.98736E+12,,,,,,,,,,,,
1957,18.49,1.95,10.41,29.79,-0.84,-0.06,-0.47,-0.81,"8,955.95","2,727.29",7470.537496,16393.75926,2.67825E+11,2.51E+11,4.55358E+11,9.99263E+11,1.97337E+12,,,,,,,,2.67355E+11,,,,
1958,19.33,2.01,10.88,30.6,-0.75,-0.15,-0.12,0.4,"9,028.95","2,728.83",7505.721478,16527.38754,2.70009E+11,2.51E+11,4.57503E+11,1.00741E+12,1.98598E+12,,,,,,,,it,1206457.3,12064.573,29904753,
1959,20.09,2.16,11,30.19,-0.72,-0.06,-0.58,-0.66,"8,992.59","2,732.88",7515.016015,16460.82914,2.68921E+11,2.51E+11,4.58069E+11,1.00335E+12,1.98177E+12,,,,,,,,manu,784410.4,7844.104,60953847,
