date,Population,Literate,Illiterate,LiterateWater,IlliterateWater,Temp,TempVar,WaterTemp,Total,TempTotal
1950,3089000,862139.9,2226860.1,84058640.25,276576024.4,23.71,-0.778,-81710228,360634664.7,442344892.7
1951,3254000,908191.4,2345808.6,88548661.5,291349428.1,24.22,-0.268,-29650448,379898089.6,409548537.6
1952,3366000,939450.6,2426549.4,91596433.5,301377435.5,24.34,-0.148,-16937712,392973869,409911581
1953,3482000,971826.2,2510173.8,94753054.5,311763586,24.57,0.082,9707816,406516640.5,396808824.5
1954,3602000,1005318.2,2596681.8,98018524.5,322507879.6,24.13,-0.358,-43843544,420526404.1,464369948.1
1955,3726000,1039926.6,2686073.4,101392843.5,333610316.3,23.97,-0.518,-65622312,435003159.8,500625471.8
1956,3855000,1075930.5,2779069.5,104903223.8,345160431.9,23.96,-0.528,-69204960,450063655.7,519268615.7
1957,3988000,1113050.8,2874949.2,108522453,357068690.6,23.97,-0.518,-70236656,465591143.6,535827799.6
1958,4125000,1151287.5,2973712.5,112250531.3,369335092.5,24.62,0.132,18513000,481585623.8,463072623.8
1959,4268000,1191198.8,3076801.2,116141883,382138709,24.3,-0.188,-27281056,498280592,525561648
1960,4415000,1232226.5,3182773.5,120142083.8,395300468.7,24.29,-0.198,-29721780,515442552.5,545164332.5
1961,4573000,1604208.4,2968791.6,156410319,368723916.7,24,-0.488,-75875216,525134235.7,601009451.7
1962,4748000,1665598.4,3082401.6,162395844,382834278.7,24.04,-0.448,-72321536,545230122.7,617551658.7
1963,4930000,1729444,3200556,168620790,397509055.2,24.15,-0.338,-56655560,566129845.2,622785405.2
1964,5119000,1795745.2,3323254.8,175085157,412748246.2,24.1,-0.388,-67529848,587833403.2,655363251.2
1965,5314000,1864151.2,3449848.8,181754742,428471221,24.07,-0.418,-75522568,610225963,685748531
1966,5518000,1935714.4,3582285.6,188732154,444919871.5,24.36,-0.128,-24014336,633652025.5,657666361.5
1967,5729000,2009733.2,3719266.8,195948987,461932936.6,24.11,-0.378,-73629108,657881923.6,731511031.6
1968,5949000,2086909.2,3862090.8,203473647,479671677.4,23.94,-0.548,-110841768,683145324.4,793987092.4
1969,6176000,2166540.8,4009459.2,211237728,497974832.6,24.46,-0.028,-5879552,709212560.6,715092112.6
1970,6413000,2249680.4,4163319.6,219343839,517084294.3,24.26,-0.228,-49713576,736428133.3,786141709.3
1971,6656000,2999859.2,3656140.8,292486272,454092687.4,23.91,-0.578,-130803712,746578959.4,877382671.4
1972,6900000,3109830,3790170,303208425,470739114,24.1,-0.388,-91024800,773947539,864972339
1973,7152000,3223406.4,3928593.6,314282124,487931325.1,24.41,-0.078,-18967104,802213449.1,821180553.1
1974,7414000,3341489.8,4072510.2,325795255.5,505805766.8,24,-0.488,-123013088,831601022.3,954614110.3
1975,7685000,3463629.5,4221370.5,337703876.3,524294216.1,23.74,-0.748,-195444920,861998092.4,1057443012
1976,7967000,3590726.9,4376273.1,350095872.8,543533119,24.07,-0.418,-113227004,893628991.8,1006855996
1977,8258000,3721880.6,4536119.4,362883358.5,563386029.5,24.35,-0.138,-38746536,926269388,965015924
1978,8561000,3858442.7,4702557.3,376198163.3,584057616.7,24.24,-0.248,-72186352,960255779.9,1032442132
1979,8874000,3999511.8,4874488.2,389952400.5,605411434.4,24.57,0.082,24740712,995363834.9,970623122.9
1980,9200000,4146440,5053560,404277900,627652152,24.55,0.062,19393600,1031930052,1012536452
1981,9514000,5445813.6,4068186.4,530966826,505268750.9,24.27,-0.218,-70517768,1036235577,1106753345
1982,9794000,5606085.6,4187914.4,546593346,520138968.5,24.15,-0.338,-112552648,1066732314,1179284962
1983,10083000,5771509.2,4311490.8,562722147,535487157.4,24.12,-0.368,-126158496,1098209304,1224367800
1984,10380000,5941512,4438488,579297420,551260209.6,24.26,-0.228,-80465760,1130557630,1211023390
1985,10686000,6116666.4,4569333.6,596374974,567511233.1,24.45,-0.038,-13806312,1163886207,1177692519
1986,11000000,6296400,4703600,613899000,584187120,24.2,-0.288,-107712000,1198086120,1305798120
1987,11324000,6481857.6,4842142.4,631981116,601394086.1,24.57,0.082,31571312,1233375202,1201803890
1988,11659000,6673611.6,4985388.4,650677131,619185239.3,24.42,-0.068,-26955608,1269862370,1296817978
1989,12002000,6869944.8,5132055.2,669819618,637401255.8,24.03,-0.458,-186895144,1307220874,1494116018
1990,12355000,7072002,5282998,689520195,656148351.6,24.21,-0.278,-116779460,1345668547,1462448007
1991,12709000,8244328.3,4464671.7,803822009.3,554512225.1,24.28,-0.208,-89878048,1358334234,1448212282
1992,13052000,8466832.4,4585167.6,825516159,569477815.9,24.15,-0.338,-149993584,1394993975,1544987559
1993,13403000,8694526.1,4708473.9,847716294.8,584792458.4,24.43,-0.058,-26430716,1432508753,1458939469
1994,13764000,8928706.8,4835293.2,870548913,600543415.4,24.46,-0.028,-13103328,1471092328,1484195656
1995,14135000,9169374.5,4965625.5,894014013.8,616730687.1,25.29,0.802,385433180,1510744701,1125311521
1996,14517000,9417177.9,5099822.1,918174845.3,633397904.8,24.55,0.062,30601836,1551572750,1520970914
1997,14908000,9670819.6,5237180.4,942904911,650457805.7,24.1,-0.388,-196666336,1593362717,1790029053
1998,15309000,9930948.3,5378051.7,968267459.3,667954021.1,24.76,0.272,141577632,1636221480,1494643848
1999,15722000,10198861.4,5523138.6,994388986.5,685973814.1,24.67,0.182,97287736,1680362801,1583075065
2000,16147000,10474558.9,5672441.1,1021269493,704517184.6,24.6,0.112,61487776,1725786677,1664298901
2001,16496000,12682124.8,3813875.2,1236507168,473683299.8,24.73,0.242,135729088,1710190468,1574461380
2002,16683000,12825890.4,3857109.6,1250524314,479053012.3,25,0.512,290417664,1729577326,1439159662
2003,16872000,12971193.6,3900806.4,1264691376,484480154.9,24.72,0.232,133086336,1749171531,1616085195
2004,17064000,13118803.2,3945196.8,1279083312,489993442.6,24.74,0.252,146204352,1769076755,1622872403
2005,17257000,13267181.6,3989818.4,1293550206,495535445.3,24.58,0.092,53979896,1789085651,1735105755
2006,17453000,13417866.4,4035133.6,1308241974,501163593.1,25.06,0.572,339425944,1809405567,1469979623
2007,17650000,13569320,4080680,1323008700,506820456,24.77,0.282,169228200,1829829156,1660600956
2008,17851000,13723848.8,4127151.2,1338075258,512592179,24.61,0.122,74045948,1850667437,1776621489
2009,18053000,13879146.4,4173853.6,1353216774,518392617.1,25.11,0.622,381784844,1871609391,1489824547
2010,18257000,14035981.6,4221018.4,1368508206,524250485.3,25.13,0.642,398513796,1892758691,1494244895
2011,18464000,15195872,3268128,1481597520,405901497.6,24.67,0.182,114255232,1887499018,1773243786
2012,18674000,15368702,3305298,1498448445,410518011.6,24.69,0.202,128253032,1908966457,1780713425
2013,18885000,15542355,3342645,1515379613,415156509,24.82,0.332,213173880,1930536122,1717362242
2014,19099000,15718477,3380523,1532551508,419860956.6,24.73,0.242,157146572,1952412464,1795265892
2015,19316000,15897068,3418932,1549964130,424631354.4,24.91,0.422,277145968,1974595484,1697449516
2016,19535000,16077305,3457695,1567537238,429445719,26.45,1.962,1303140780,1996982957,1693842177
2017,19756000,16259188,3496812,1585270830,434304050.4,26.29,1.802,1210410608,2019574880,1809164272
2018,19980000,16443540,3536460,1603245150,439228332,25.43,0.942,639919440,2042473482,1402554042
2019,20185000,16612255,3572745,1619694863,443734929,25.79,1.302,893549580,2063429792,1569880212
2020,20411000,16798253,3612747,1637829668,448703177.4,24.96,0.472,327555728,2086532845,1758977117
