Year,Input,Output,Lower,Upper
1951,409548537.600,409548537.600,,
1952,409911581.000,422499639.837,,
1953,396808824.500,423756612.845,,
1954,464369948.100,445035151.544,,
1955,500625471.800,481338558.846,,
1956,519268615.700,486361237.899,,
1957,535827799.600,521693474.505,,
1958,463072623.800,540668413.433,,
1959,525561648.000,535187652.238,,
1960,545164332.500,572290055.650,,
1961,601009451.700,545396247.092,,
1962,617551658.700,607279183.828,,
1963,622785405.200,629344756.087,,
1964,655363251.200,670701664.403,,
1965,685748531.000,667416700.953,,
1966,657666361.500,658837409.588,,
1967,731511031.600,665650050.204,,
1968,793987092.400,735131426.988,,
1969,715092112.600,763426301.975,,
1970,786141709.300,784787823.464,,
1971,877382671.400,842395681.136,,
1972,864972339.000,814052977.957,,
1973,821180553.100,818755047.415,,
1974,954614110.300,863341147.893,,
1975,1057443012.000,945311712.495,,
1976,1006855996.000,947804643.691,,
1977,965015924.000,983537109.946,,
1978,1032442132.000,1046901882.283,,
1979,970623122.900,1064157771.851,,
1980,1012536452.000,999323858.006,,
1981,1106753345.000,1048308240.421,,
1982,1179284962.000,1081508820.170,,
1983,1224367800.000,1148820688.867,,
1984,1211023390.000,1194860828.571,,
1985,1177692519.000,1214898109.847,,
1986,1305798120.000,1206092335.464,,
1987,1201803890.000,1223387681.919,,
1988,1296817978.000,1186735652.629,,
1989,1494116018.000,1346296615.144,,
1990,1462448007.000,1392710514.080,,
1991,1448212282.000,1421628621.561,,
1992,1544987559.000,1480708571.376,,
1993,1458939469.000,1485247032.745,,
1994,1484195656.000,1425904099.711,,
1995,1125311521.000,1495842465.620,,
1996,1520970914.000,1426930779.195,,
1997,1790029053.000,1650917880.591,,
1998,1494643848.000,1484335817.897,,
1999,1583075065.000,1549700334.697,,
2000,1664298901.000,1725656916.634,,
2001,1574461380.000,1611106150.994,,
2002,1439159662.000,1521339603.447,,
2003,1616085195.000,1515698557.303,,
2004,1622872403.000,1684300703.084,,
2005,1735105755.000,1675053553.425,,
2006,1469979623.000,1783190438.326,,
2007,1660600956.000,1661684679.613,,
2008,1776621489.000,1749502611.386,,
2009,1489824547.000,1546253343.511,,
2010,1494244895.000,1558993680.790,,
2011,1773243786.000,1728025738.496,,
2012,1780713425.000,1774740886.595,,
2013,1717362242.000,1712250705.531,,
2014,1795265892.000,1767474930.126,,
2015,1697449516.000,1813176209.901,,
2016,1693842177.000,1725116669.529,,
2017,1809164272.000,1726468363.294,,
2018,1402554042.000,1751762528.521,,
2019,1569880212.000,1711585043.392,,
2020,1758977117.000,1879854977.708,1694485679.676,2065224275.740
2021,,1714476111.499,1522270704.326,1906681518.671
2022,,1628634817.351,1436349546.727,1820920087.975
2023,,1718669095.284,1503952523.372,1933385667.196
2024,,1724826242.996,1499896649.161,1949755836.830
2025,,1637915589.026,1412716390.808,1863114787.245
2026,,1605205144.835,1378279224.936,1832131064.735
2027,,1681580995.704,1443514141.984,1919647849.423
2028,,1734787496.416,1482951578.804,1986623414.027
2029,,1711493682.847,1452921983.744,1970065381.950
2030,,1694915048.776,1431051295.035,1958778802.517
2031,,1695281472.870,1425457958.415,1965104987.326
2032,,1670331281.677,1397195446.689,1943467116.664
2033,,1642901485.989,1367634838.619,1918168133.358
2034,,1655796325.979,1376107749.850,1935484902.108
2035,,1693673788.613,1406013832.058,1981333745.168
2036,,1714247928.824,1418446797.550,2010049060.098
2037,,1709897371.051,1407864643.082,2011930099.020
2038,,1695929672.401,1389185245.373,2002674099.429
2039,,1677310638.811,1367094493.770,1987526783.853
2040,,1659152669.708,1346208464.048,1972096875.367
2041,,1656924652.473,1340716673.524,1973132631.422
2042,,1675509251.636,1354248817.844,1996769685.427
2043,,1698887113.592,1371093670.549,2026680556.635
2044,,1709215772.020,1375112213.030,2043319331.009
2045,,1702823066.455,1363737209.190,2041908923.720
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
