year,total,totalvehicles,watervehicle
1980,3.2,320000,43200000
1981,3.2,320000,43200000
1982,3.2,320000,43200000
1983,3.2,320000,43200000
1984,3.2,320000,43200000
1985,3.2,320000,43200000
1986,5.1,510000,68850000
1987,5.1,510000,68850000
1988,5.1,510000,68850000
1989,5.1,510000,68850000
1990,5.1,510000,68850000
1991,5.8,580000,78300000
1992,5.8,580000,78300000
1993,5.8,580000,78300000
1994,5.8,580000,78300000
1995,5.8,580000,78300000
1996,7.6,760000,102600000
1997,7.6,760000,102600000
1998,7.6,760000,102600000
1999,7.6,760000,102600000
2000,7.6,760000,102600000
2001,10.29,1029000,138915000
2002,10.29,1029000,138915000
2003,10.29,1029000,138915000
2004,10.29,1029000,138915000
2005,10.29,1029000,138915000
2006,15.03,1503000,202905000
2007,15.03,1503000,202905000
2008,16.04,1604000,216540000
2009,16.74,1674000,225990000
2010,17.67,1767000,238545000
2011,18.7,1870000,252450000
2012,20.28,2028000,273780000
2013,21.87,2187000,295245000
2014,23.32,2332000,314820000
2015,25.71,2571000,347085000
2016,28.19,2819000,380565000
2017,30.69,3069000,414315000
2018,31.12,3112000,420120000
2019,32,3200000,432000000
2020,32.6,3260000,440100000
